what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692865874
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436692867236
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692880257
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436692885043
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436692885770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692896319
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textEnd",1436692897309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692899945
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692902766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692923051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692924855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692926754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692927579
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692931074
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436692931793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692932788
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1436692934347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692936132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692937621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692945560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692947856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692949127
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692949170
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436692949173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692952415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692961896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692963774
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692964523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692964668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692967730
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436692967746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692967752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692969299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436692974392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436692981323
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436692993630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436692995667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693000663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436693009310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693011453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436693016237
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693018330
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693023566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693027752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693034200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693034974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693036269
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693036294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693036304
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693037256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693043716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693046275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436693066032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693068464
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1436693073447
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693076587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693076740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693078324
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693078336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693078358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693079284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693096929
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693097706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693098294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693138830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1436693167763
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1436693170139
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1436693170311
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1436693170576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693171452
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693178521
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1436693180222
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436693182205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436693188562
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693191294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693192068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693192227
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693194085
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693194093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693194101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693195177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693196506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693205329
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693214637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693214784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693216823
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693216838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693216850
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693217964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693219281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693224058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693228307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693245010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1436693252243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693254218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436693262470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693263767
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693264142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693265574
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693265580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693265599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693266069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693271247
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693271405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693272594
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693272605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693272614
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693272869
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693275894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693276045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693276672
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693276684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693276693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693276923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693278719
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693304934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693307957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693308203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693308762
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693308772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693308791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693309391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693312636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693318369
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693406889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693407008
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693408441
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693408447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693408455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693408562
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1436693412927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693413199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693414292
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693414306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693414313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693414453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693418260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693429457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693434794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693434974
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1436693434979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693435240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436693437002
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=919, length=6>",1436693444404
